# Experiment File Name : card ARV7 _1 01.01.22.sds;;;;;;;;;
# Created By :giulia.salva@gmail.com;;;;;;;;;
# Last Modified Date : 2022-02-10 09:46:08 AM;;;;;;;;;
# Instrument Type : 7900HT Real-Time PCR System;;;;;;;;;
;;;;;;;;;
Experiment Name;Barcode;Well;Target Name;Sample Name;Rn;dRn;Omit;Cycle Number;Passive Ref
card ARV7 _1 01.01.22.sds;;A1;-478577_mir;102;2.627;0.098;false;40.0;2.866.351
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.475;0.045;false;1.0;2.695.488
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.458;0.03;false;2.0;2.770.784
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.456;0.029;false;3.0;2.751.956
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.452;0.026;false;4.0;2.774.948
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.451;0.026;false;5.0;2.796.316
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.448;0.025;false;6.0;2.776.849
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.446;0.025;false;7.0;2.842.227
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.439;0.02;false;8.0;2.827.168
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.433;0.014;false;9.0;2.835.155
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.432;0.015;false;10.0;2.820.778
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.428;0.012;false;11.0;2.852.726
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.418;0.004;false;12.0;2.893.896
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.413;0.0;false;13.0;2.898.379
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.411;0.0;false;14.0;2.918.751
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.403;-0.007;false;15.0;2.907.408
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.401;-0.007;false;16.0;2.906.314
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.395;-0.012;false;17.0;2.926.127
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.383;-0.022;false;18.0;2.995.845
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.384;-0.02;false;19.0;2.976.242
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.378;-0.024;false;20.0;3.024.817
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.375;-0.026;false;21.0;2.991.467
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.375;-0.024;false;22.0;3.024.367
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.365;-0.033;false;23.0;3.042.382
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.373;-0.024;false;24.0;3.008.247
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.356;-0.04;false;25.0;2.994.076
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.355;-0.039;false;26.0;3.008.392
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.356;-0.037;false;27.0;3.056.522
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.356;-0.035;false;28.0;3.029.475
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.355;-0.035;false;29.0;3.077.852
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.351;-0.037;false;30.0;3.133.044
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.363;-0.024;false;31.0;3.062.725
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.362;-0.023;false;32.0;3.089.837
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.367;-0.017;false;33.0;3.096.805
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.379;-0.003;false;34.0;3.101.519
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.393;0.012;false;35.0;3109.07
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.42;0.04;false;36.0;3.085.091
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.433;0.055;false;37.0;3.142.158
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.458;0.081;false;38.0;3.116.381
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.48;0.105;false;39.0;3.141.937
card ARV7 _1 01.01.22.sds;;A2;-477973_mir;102;1.503;0.13;false;40.0;3.144.826
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.873;0.003;false;1.0;2.779.333
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.868;0.0;false;2.0;2.830.729
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.867;0.0;false;3.0;2.812.204
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.865;-0.002;false;4.0;2.825.902
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.867;0.001;false;5.0;2.808.981
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.866;0.001;false;6.0;2.789.815
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.862;-0.003;false;7.0;2.876.814
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.865;0.002;false;8.0;2.858.481
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.86;-0.003;false;9.0;2836.9
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.865;0.003;false;10.0;2.871.646
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.864;0.003;false;11.0;2.901.454
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.862;0.002;false;12.0;2.890.853
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.862;0.002;false;13.0;2.957.223
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.858;-0.001;false;14.0;2.976.371
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.86;0.002;false;15.0;2.969.955
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.856;-0.001;false;16.0;2.915.536
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.857;0.001;false;17.0;2.998.753
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.855;0.0;false;18.0;3.065.645
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.849;-0.005;false;19.0;3.017.338
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.848;-0.005;false;20.0;3.029.654
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.846;-0.006;false;21.0;3.020.009
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.855;0.004;false;22.0;3.001.187
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.848;-0.002;false;23.0;3.092.349
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.852;0.002;false;24.0;3.021.732
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.854;0.005;false;25.0;3.061.391
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.855;0.007;false;26.0;3.010.368
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.865;0.018;false;27.0;3.082.532
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.873;0.026;false;28.0;3007.49
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.89;0.044;false;29.0;3.030.216
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.91;0.065;false;30.0;3.127.481
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.937;0.093;false;31.0;3.066.269
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;0.971;0.127;false;32.0;3.058.672
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;1.006;0.164;false;33.0;3.065.809
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;1.052;0.21;false;34.0;3.057.357
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;1.092;0.251;false;35.0;3.091.865
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;1.141;0.301;false;36.0;3.115.634
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;1.194;0.355;false;37.0;3.130.046
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;1.249;0.411;false;38.0;3.079.515
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;1.299;0.462;false;39.0;3.042.679
card ARV7 _1 01.01.22.sds;;A3;-477975_mir;102;1.356;0.52;false;40.0;3.106.785
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.094;-0.014;false;1.0;2.854.062
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.088;-0.02;false;2.0;2.907.963
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.098;-0.011;false;3.0;2.853.209
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.102;-0.007;false;4.0;2.918.518
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.107;-0.002;false;5.0;2.916.443
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.115;0.005;false;6.0;2.914.542
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.112;0.002;false;7.0;2.946.143
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.122;0.011;false;8.0;2.940.206
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.118;0.006;false;9.0;2.966.316
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.113;0.001;false;10.0;2.967.368
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.116;0.003;false;11.0;3.027.087
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.116;0.003;false;12.0;2.970.879
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.117;0.003;false;13.0;3.015.036
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.116;0.002;false;14.0;3.033.996
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.114;-0.001;false;15.0;3.024.269
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.119;0.004;false;16.0;3.041.985
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.116;0.0;false;17.0;3.093.328
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.114;-0.003;false;18.0;3.097.052
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.114;-0.004;false;19.0;3.137.708
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.118;0.0;false;20.0;3.151.042
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.114;-0.005;false;21.0;3.128.972
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.115;-0.004;false;22.0;3.122.663
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.11;-0.01;false;23.0;3.144.447
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.119;-0.001;false;24.0;3.207.898
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.115;-0.006;false;25.0;3.171.213
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.119;-0.003;false;26.0;3.179.018
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.124;0.002;false;27.0;3.220.745
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.13;0.007;false;28.0;3.190.419
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.131;0.008;false;29.0;3.237.418
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.142;0.019;false;30.0;3.279.185
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.152;0.028;false;31.0;3.244.016
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.184;0.059;false;32.0;3.252.687
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.218;0.092;false;33.0;3.243.367
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.274;0.148;false;34.0;3.239.586
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.356;0.229;false;35.0;3.193.749
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.46;0.333;false;36.0;3.288.473
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.595;0.468;false;37.0;3.303.764
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.746;0.617;false;38.0;3.311.869
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;1.913;0.785;false;39.0;3.279.112
card ARV7 _1 01.01.22.sds;;A4;-477992_mir;102;2.069;0.94;false;40.0;3.343.745
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.831;0.01;false;1.0;2.867.517
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.824;0.002;false;2.0;2.933.506
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.828;0.006;false;3.0;2.878.141
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.829;0.007;false;4.0;2.920.644
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.826;0.004;false;5.0;2.847.846
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.831;0.009;false;6.0;2.888.045
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.833;0.01;false;7.0;3.005.129
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.832;0.009;false;8.0;2890.48
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.828;0.004;false;9.0;2907.71
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.829;0.005;false;10.0;2.966.308
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.832;0.008;false;11.0;2.966.151
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.832;0.007;false;12.0;2.939.773
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.826;0.002;false;13.0;3.051.902
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.827;0.002;false;14.0;3.083.075
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.827;0.001;false;15.0;3.042.941
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.828;0.002;false;16.0;2.974.009
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.819;-0.007;false;17.0;3.134.437
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.817;-0.009;false;18.0;3166.41
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.82;-0.007;false;19.0;3152.99
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.818;-0.009;false;20.0;3.133.209
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.818;-0.009;false;21.0;3.163.515
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.816;-0.011;false;22.0;3072.66
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.814;-0.014;false;23.0;3.199.886
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.817;-0.011;false;24.0;3.092.453
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.815;-0.013;false;25.0;3.176.312
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.814;-0.015;false;26.0;3.102.266
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.814;-0.015;false;27.0;3.195.811
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.814;-0.015;false;28.0;3.204.691
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.815;-0.014;false;29.0;3.173.471
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.817;-0.013;false;30.0;3.252.291
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.822;-0.008;false;31.0;3.193.677
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.821;-0.009;false;32.0;3.080.886
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.824;-0.007;false;33.0;3.225.823
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.832;0.001;false;34.0;3.150.589
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.84;0.008;false;35.0;3.246.862
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.845;0.014;false;36.0;3.205.646
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.85;0.019;false;37.0;3.249.506
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.861;0.029;false;38.0;3.170.058
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.868;0.036;false;39.0;3.194.058
card ARV7 _1 01.01.22.sds;;A5;-478369_mir;102;0.873;0.041;false;40.0;3.265.647
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.629;0.018;false;1.0;2780.69
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.633;0.019;false;2.0;2.826.391
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.628;0.011;false;3.0;2.808.064
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.636;0.016;false;4.0;2.832.922
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.64;0.017;false;5.0;2.831.846
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.649;0.023;false;6.0;2.843.941
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.649;0.021;false;7.0;2.859.918
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.651;0.019;false;8.0;2.827.592
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.651;0.016;false;9.0;2.924.632
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.657;0.019;false;10.0;2.908.989
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.648;0.008;false;11.0;2.943.068
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.645;0.002;false;12.0;2.893.378
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.65;0.004;false;13.0;2.989.823
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.651;0.002;false;14.0;2.987.585
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.642;-0.009;false;15.0;2.952.797
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.65;-0.005;false;16.0;2.960.306
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.646;-0.011;false;17.0;2.969.846
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.642;-0.018;false;18.0;3.038.501
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.64;-0.023;false;19.0;3.017.569
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.639;-0.028;false;20.0;3.046.453
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.647;-0.022;false;21.0;3.003.318
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.639;-0.033;false;22.0;3008.78
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.643;-0.032;false;23.0;3.061.248
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.643;-0.036;false;24.0;3.084.756
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.649;-0.032;false;25.0;3.060.788
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.652;-0.032;false;26.0;3.069.393
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.664;-0.023;false;27.0;3.110.644
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.673;-0.017;false;28.0;3.087.232
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.673;-0.02;false;29.0;3.166.069
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.692;-0.004;false;30.0;3.123.154
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.702;0.003;false;31.0;3.095.092
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.709;0.008;false;32.0;3.162.006
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.719;0.015;false;33.0;3.137.201
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.722;0.015;false;34.0;3.171.543
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.738;0.028;false;35.0;3.163.744
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.75;0.037;false;36.0;3.143.868
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.747;0.031;false;37.0;3.153.101
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.745;0.027;false;38.0;3.188.578
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.748;0.026;false;39.0;3.207.125
card ARV7 _1 01.01.22.sds;;A6;-478007_mir;102;1.751;0.026;false;40.0;3.186.748
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.331;0.175;false;1.0;2.793.733
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.309;0.162;false;2.0;2.833.258
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.269;0.132;false;3.0;2.787.929
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.245;0.118;false;4.0;2822.43
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.198;0.081;false;5.0;2.797.165
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.163;0.056;false;6.0;2.799.648
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.151;0.053;false;7.0;2866.58
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.136;0.048;false;8.0;2.793.161
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.102;0.023;false;9.0;2.853.271
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.075;0.006;false;10.0;2.862.885
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.065;0.006;false;11.0;2.861.521
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.034;-0.015;false;12.0;2.865.829
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.014;-0.025;false;13.0;2.943.552
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.003;-0.026;false;14.0;2.930.272
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;3.003;-0.017;false;15.0;2.898.318
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;2.969;-0.041;false;16.0;2.948.917
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;2.964;-0.036;false;17.0;2.953.778
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;2.944;-0.047;false;18.0;2.994.723
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;2.92;-0.061;false;19.0;2977.66
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;2.913;-0.059;false;20.0;3.049.621
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;2.897;-0.065;false;21.0;2.995.617
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;2.879;-0.073;false;22.0;2.977.126
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;2.868;-0.074;false;23.0;3.051.052
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;2.86;-0.073;false;24.0;2998.32
card ARV7 _1 01.01.22.sds;;A7;-478606_mir;102;2.838;-0.084;false;25.0;3.050.577
